Date,Description,Amount,Type
2023-01-24,"Paystack Transfer: Client Payment",332155,income
2023-01-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-01-01,"DSTV Premium",-29500,expense
2023-01-01,"Spar Nigeria",-29603,expense
2023-01-01,"Zoom Video Comms",-18000,expense
2023-01-24,"Paystack Transfer: Client Payment",404124,income
2023-01-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-01-02,"Bolt Trip",-3784,expense
2023-01-02,"GTBank Trf: Mom",-30278,expense
2023-01-24,"Paystack Transfer: Client Payment",229971,income
2023-01-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-01-03,"Shoprite Lekki",-28275,expense
2023-01-03,"Zoom Video Comms",-18000,expense
2023-01-03,"Shoprite Lekki",-67238,expense
2023-01-24,"Paystack Transfer: Client Payment",316107,income
2023-01-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-01-04,"Upwork Inc.",390007,income
2023-01-04,"Spectranet 4G LTE",-30064,expense
2023-01-04,"Eko Hotels & Suites",-143259,expense
2023-01-24,"Paystack Transfer: Client Payment",416306,income
2023-01-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-01-24,"Paystack Transfer: Client Payment",389784,income
2023-01-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-01-06,"MainOne Cable",-45000,expense
2023-01-06,"Shoprite Lekki",-34599,expense
2023-01-24,"Paystack Transfer: Client Payment",483581,income
2023-01-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-01-24,"Paystack Transfer: Client Payment",182799,income
2023-01-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-01-08,"Bolt Trip",-4012,expense
2023-01-08,"GTBank Trf: Mom",-49424,expense
2023-01-08,"Zoom Video Comms",-18000,expense
2023-01-24,"Paystack Transfer: Client Payment",485288,income
2023-01-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-01-09,"Shoprite Lekki",-20607,expense
2023-01-09,"Spectranet 4G LTE",-23276,expense
2023-01-24,"Paystack Transfer: Client Payment",467955,income
2023-01-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-01-10,"Vercel Inc.",-25000,expense
2023-01-24,"Paystack Transfer: Client Payment",235925,income
2023-01-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-01-11,"Upwork Inc.",631052,income
2023-01-11,"Netflix Subscription",-4500,expense
2023-01-11,"Netflix Subscription",-4500,expense
2023-01-24,"Paystack Transfer: Client Payment",222442,income
2023-01-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-01-12,"Dominos Pizza",-11180,expense
2023-01-12,"Zoom Video Comms",-18000,expense
2023-01-24,"Paystack Transfer: Client Payment",294505,income
2023-01-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-01-13,"Spectranet 4G LTE",-25806,expense
2023-01-24,"Paystack Transfer: Client Payment",230347,income
2023-01-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-01-24,"Paystack Transfer: Client Payment",168821,income
2023-01-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-01-15,"Eko Hotels & Suites",-73676,expense
2023-01-24,"Paystack Transfer: Client Payment",276775,income
2023-01-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-01-16,"Spectranet 4G LTE",-22927,expense
2023-01-24,"Paystack Transfer: Client Payment",227353,income
2023-01-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-01-17,"Dominos Pizza",-8263,expense
2023-01-17,"Spectranet 4G LTE",-31042,expense
2023-01-17,"Uber Ride",-5617,expense
2023-01-24,"Paystack Transfer: Client Payment",492633,income
2023-01-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-01-18,"Upwork Inc.",398807,income
2023-01-18,"Netflix Subscription",-4500,expense
2023-01-18,"Coworking Space Lekki",-60000,expense
2023-01-18,"MainOne Cable",-45000,expense
2023-01-24,"Paystack Transfer: Client Payment",471777,income
2023-01-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-01-19,"Spar Nigeria",-26948,expense
2023-01-19,"Netflix Subscription",-4500,expense
2023-01-19,"DSTV Premium",-29500,expense
2023-01-24,"Paystack Transfer: Client Payment",392334,income
2023-01-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-01-24,"Paystack Transfer: Client Payment",405926,income
2023-01-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-01-24,"Paystack Transfer: Client Payment",387960,income
2023-01-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-01-22,"Netflix Subscription",-4500,expense
2023-01-22,"Netflix Subscription",-4500,expense
2023-01-24,"Paystack Transfer: Client Payment",273710,income
2023-01-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-01-23,"Uber Ride",-5268,expense
2023-01-24,"Paystack Transfer: Client Payment",290939,income
2023-01-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-01-24,"Coworking Space Lekki",-60000,expense
2023-01-24,"Paystack Transfer: Client Payment",391300,income
2023-01-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-01-25,"Upwork Inc.",783188,income
2023-01-24,"Paystack Transfer: Client Payment",257899,income
2023-01-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-01-26,"Eko Hotels & Suites",-55728,expense
2023-01-26,"Fuel - Total",-16630,expense
2023-01-26,"Zoom Video Comms",-18000,expense
2023-01-24,"Paystack Transfer: Client Payment",233603,income
2023-01-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-01-27,"Spectranet 4G LTE",-24897,expense
2023-01-24,"Paystack Transfer: Client Payment",468492,income
2023-01-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-01-28,"Vercel Inc.",-25000,expense
2023-01-28,"Eko Hotels & Suites",-107186,expense
2023-01-24,"Paystack Transfer: Client Payment",391598,income
2023-01-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-01-29,"Eko Hotels & Suites",-67301,expense
2023-01-29,"Netflix Subscription",-4500,expense
2023-01-29,"Fuel - Total",-17885,expense
2023-01-24,"Paystack Transfer: Client Payment",198104,income
2023-01-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-01-24,"Paystack Transfer: Client Payment",449108,income
2023-01-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-01-31,"GTBank Trf: Mom",-49938,expense
2023-02-24,"Paystack Transfer: Client Payment",268042,income
2023-02-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-02-01,"Upwork Inc.",458667,income
2023-02-01,"Fuel - Total",-18141,expense
2023-02-24,"Paystack Transfer: Client Payment",330994,income
2023-02-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-02-02,"GTBank Trf: Mom",-21707,expense
2023-02-24,"Paystack Transfer: Client Payment",426717,income
2023-02-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-02-24,"Paystack Transfer: Client Payment",432939,income
2023-02-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-02-04,"Spectranet 4G LTE",-25547,expense
2023-02-04,"DSTV Premium",-29500,expense
2023-02-04,"Bolt Trip",-1700,expense
2023-02-24,"Paystack Transfer: Client Payment",192626,income
2023-02-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-02-24,"Paystack Transfer: Client Payment",449160,income
2023-02-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-02-06,"GTBank Trf: Mom",-23113,expense
2023-02-24,"Paystack Transfer: Client Payment",276905,income
2023-02-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-02-07,"MainOne Cable",-45000,expense
2023-02-07,"DSTV Premium",-29500,expense
2023-02-07,"Spectranet 4G LTE",-28680,expense
2023-02-24,"Paystack Transfer: Client Payment",268700,income
2023-02-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-02-08,"Upwork Inc.",498366,income
2023-02-08,"Spectranet 4G LTE",-33137,expense
2023-02-08,"Dominos Pizza",-19548,expense
2023-02-08,"Eko Hotels & Suites",-46600,expense
2023-02-24,"Paystack Transfer: Client Payment",357897,income
2023-02-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-02-09,"Coworking Space Lekki",-60000,expense
2023-02-09,"GTBank Trf: Mom",-33333,expense
2023-02-24,"Paystack Transfer: Client Payment",379168,income
2023-02-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-02-10,"Dominos Pizza",-18019,expense
2023-02-24,"Paystack Transfer: Client Payment",265348,income
2023-02-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-02-11,"DSTV Premium",-29500,expense
2023-02-24,"Paystack Transfer: Client Payment",202944,income
2023-02-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-02-12,"Shoprite Lekki",-32877,expense
2023-02-12,"Vercel Inc.",-25000,expense
2023-02-24,"Paystack Transfer: Client Payment",195817,income
2023-02-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-02-24,"Paystack Transfer: Client Payment",351928,income
2023-02-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-02-14,"GTBank Trf: Mom",-36721,expense
2023-02-14,"Spectranet 4G LTE",-29748,expense
2023-02-24,"Paystack Transfer: Client Payment",463171,income
2023-02-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-02-15,"Upwork Inc.",332307,income
2023-02-24,"Paystack Transfer: Client Payment",241724,income
2023-02-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-02-24,"Paystack Transfer: Client Payment",232949,income
2023-02-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-02-24,"Paystack Transfer: Client Payment",381541,income
2023-02-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-02-18,"Vercel Inc.",-25000,expense
2023-02-24,"Paystack Transfer: Client Payment",190726,income
2023-02-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-02-24,"Paystack Transfer: Client Payment",169977,income
2023-02-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-02-24,"Paystack Transfer: Client Payment",194975,income
2023-02-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-02-21,"Vercel Inc.",-25000,expense
2023-02-24,"Paystack Transfer: Client Payment",332183,income
2023-02-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-02-22,"Upwork Inc.",330407,income
2023-02-24,"Paystack Transfer: Client Payment",290664,income
2023-02-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-02-23,"Vercel Inc.",-25000,expense
2023-02-23,"GTBank Trf: Mom",-49491,expense
2023-02-23,"Uber Ride",-3063,expense
2023-02-24,"Paystack Transfer: Client Payment",498054,income
2023-02-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-02-24,"Paystack Transfer: Client Payment",306113,income
2023-02-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-02-24,"Paystack Transfer: Client Payment",172540,income
2023-02-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-02-26,"Spectranet 4G LTE",-22246,expense
2023-02-24,"Paystack Transfer: Client Payment",483225,income
2023-02-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-02-27,"Zoom Video Comms",-18000,expense
2023-02-27,"Uber Ride",-5260,expense
2023-02-27,"Spar Nigeria",-26112,expense
2023-02-24,"Paystack Transfer: Client Payment",414905,income
2023-02-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-02-28,"Dominos Pizza",-15723,expense
2023-02-28,"Spar Nigeria",-26026,expense
2023-03-24,"Paystack Transfer: Client Payment",404495,income
2023-03-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-03-01,"Upwork Inc.",784252,income
2023-03-01,"Eko Hotels & Suites",-101434,expense
2023-03-01,"GTBank Trf: Mom",-42606,expense
2023-03-01,"DSTV Premium",-29500,expense
2023-03-24,"Paystack Transfer: Client Payment",334216,income
2023-03-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-03-02,"Fuel - Total",-16046,expense
2023-03-02,"Dominos Pizza",-12530,expense
2023-03-24,"Paystack Transfer: Client Payment",434031,income
2023-03-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-03-03,"Eko Hotels & Suites",-98445,expense
2023-03-24,"Paystack Transfer: Client Payment",400682,income
2023-03-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-03-24,"Paystack Transfer: Client Payment",405036,income
2023-03-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-03-05,"Netflix Subscription",-4500,expense
2023-03-24,"Paystack Transfer: Client Payment",452375,income
2023-03-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-03-06,"Bolt Trip",-2829,expense
2023-03-24,"Paystack Transfer: Client Payment",479401,income
2023-03-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-03-07,"Bolt Trip",-1980,expense
2023-03-24,"Paystack Transfer: Client Payment",307986,income
2023-03-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-03-08,"Upwork Inc.",758523,income
2023-03-08,"MainOne Cable",-45000,expense
2023-03-08,"GTBank Trf: Mom",-40803,expense
2023-03-24,"Paystack Transfer: Client Payment",404000,income
2023-03-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-03-09,"Uber Ride",-2684,expense
2023-03-09,"Shoprite Lekki",-55707,expense
2023-03-24,"Paystack Transfer: Client Payment",367362,income
2023-03-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-03-10,"Bolt Trip",-1211,expense
2023-03-10,"Dominos Pizza",-17332,expense
